RegionID,SizeRank,RegionName,RegionType,StateName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
394902,37,"Nashville, TN",msa,TN,184203.7360683276,179627.99222221607,172334.2343463132,171655.80672997155,180277.38916821216,191870.85609065744,209757.91276986213,234631.85921245956,260594.7249579419,283088.065795041,295498.7548471324,313386.06931187696,362191.0049180199,443001.41168985463,444551.2904024267,451409.68069358426
395194,38,"Virginia Beach, VA",msa,VA,234887.29154880394,226605.56268788225,214197.21269098515,210644.5086263637,215155.45514736825,217720.90532970533,221762.6935216264,226964.71589905932,232482.24149921085,238199.68365635906,244941.18011943597,258535.1800252682,289871.2409498878,318494.2605355518,334470.4501104809,352046.91760513344
395005,39,"Providence, RI",msa,RI,247448.23797535567,243666.9606889485,231834.84282430322,222559.81357602216,230159.23952256315,240669.85272135827,248998.22030674547,264490.9346721868,283336.85291106085,300992.7354092264,312167.6212335707,332432.78162754636,385178.29096577415,429292.86253990425,449781.0710858615,484880.13319290447
394714,40,"Jacksonville, FL",msa,FL,179390.75016269457,163033.73835057887,144117.89657045624,138339.0524997185,149411.53002158293,164229.66548723332,173496.67219072918,186685.3020315674,201373.86154459804,218570.002861361,231714.67010472983,245193.59804916164,286290.3807372989,355169.40337644116,360925.12501221965,362625.64371351205
394862,41,"Milwaukee, WI",msa,WI,206239.14431672238,203240.0255861917,185115.3495125204,178902.43211613793,184270.36978924918,193352.01222869658,198321.17166481225,209255.93671516425,221305.14454715207,234442.18410441533,247252.68574872136,262748.18583015923,291883.8159340696,312929.8140795335,334854.6572010678,356214.2614450716
394935,42,"Oklahoma City, OK",msa,OK,129691.39033787826,131768.2453336506,128698.97982427455,127827.49712694983,131515.49225913276,136790.045290624,142985.25849614915,146741.72174664537,150150.18491790962,156139.91785807232,162085.86564219955,171869.12186763398,192373.4154671112,219746.60743228238,231851.6251683243,237901.01330389988
395012,43,"Raleigh, NC",msa,NC,215756.0328971861,211968.3804497132,202306.98272105714,198807.99219455326,206148.72302740611,216778.50005180025,228801.60513550765,245346.91212239137,260765.9986336414,274912.7243704718,288204.52462168824,303214.1794115145,354238.37934454856,438589.4379259597,440013.97843784466,449344.1444341625
394849,44,"Memphis, TN",msa,TN,121242.70487021969,116544.90164890635,110819.22834343607,110986.30005618773,112374.96288980875,119371.5235082488,124322.71523009696,129672.48373803102,137680.4613540591,148373.90421317608,159904.51491879483,174608.3041482153,202999.6780486278,236760.54612366916,240959.5287010396,243188.9126023758
395022,45,"Richmond, VA",msa,VA,211780.9418189783,202582.684446285,189348.43829118446,184907.54081942164,191447.67771056984,198152.8096971026,204457.8063891954,215577.09731666328,227534.579397222,239285.7591527508,250905.62237245092,266072.39464280126,302191.30293147516,339098.6686113992,357958.5707591611,375176.15530645795
394807,46,"Louisville, KY",msa,KY,138851.0338267604,137407.61912668557,131856.63251425663,131661.91417715867,134919.63032501622,140381.87528098925,145931.94786892412,153270.5740974756,162894.3345596105,172575.84241041337,184817.42070940605,196414.84570166355,219682.98292342204,239841.0078294586,248841.48375178617,258448.03995263533
394910,47,"New Orleans, LA",msa,LA,215858.87887697027,211128.11801116428,204201.53274060637,200840.79860676813,203765.18246325557,206201.86040911512,216799.46529748422,224797.1955867513,225871.26270580964,229593.91046746273,239112.62908000944,253319.6632479827,274179.3649503584,291184.78834912693,274499.22747177165,258422.49433646398
395053,48,"Salt Lake City, UT",msa,UT,230346.24022273443,215942.3621856261,198050.39541573983,200937.35460099534,228114.48782884513,243850.4567994291,257764.19909271228,282272.70278742124,306525.8469913584,335073.09250135854,358126.3159890592,390535.83804736804,476346.4232400865,553208.2991713668,535995.6162151234,545576.572545149
394669,49,"Hartford, CT",msa,CT,240914.64151269777,233853.01109438203,222100.66620395108,214031.97216600087,215954.63006642237,218393.91774729904,219133.46855331273,222123.14214149056,227236.81579079747,231263.31202303598,233334.535511579,243437.24952708287,275026.68200088,305053.6239804173,330653.2474958418,364506.8773375671
394425,50,"Buffalo, NY",msa,NY,124061.00402811628,126426.41756884886,125583.37340573307,125291.93964184308,128963.66343679879,133777.78820343086,138211.93600977992,144994.07506096593,153943.17863861038,165366.0114790282,173719.29234408462,185546.13519823973,213987.00785141214,238978.40559405574,250755.5892036015,267482.9340037574
394388,51,"Birmingham, AL",msa,AL,144952.8411088319,141026.20619232728,134749.17704798654,133447.55273093432,140079.12680796214,145662.28918738113,150138.02093034264,155867.04052994036,161287.33359350744,168821.10606838422,178894.01147393792,193304.84607786755,219896.8697820844,249824.16347032203,254891.4370952792,255540.40021669745
395031,52,"Rochester, NY",msa,NY,132779.50038980157,133869.1799258147,130585.7360425921,128753.11203820833,130810.31686965052,133446.77902308735,136296.2726399479,145128.77424987423,151958.55945485397,152898.2905830328,160305.17075396582,171884.77482449225,196635.78408180564,218932.38696102778,236509.1388242729,256920.5131362444
