FIPS,Year,Rent,Houseless_rate,Sheltered_rate,Unsheltered_rate,TOT_POP,TOT_MALE,TOT_FEMALE,TOT_WHITE,TOT_BLACK,TOT_NATIVE,TOT_ASIAN,TOT_PACIFIC,TOT_LATINX,FI Rate,Cost Per Meal,Num_wholesale,Num_restaraunts,Num_grocery,Total_workforce,Employed,Unemployed,Unemployment_rate,coc_number,State,County,State/County,Low Threshold Type,High Threshold Type,percent_male,percent_female,percent_white,percent_black,percent_native,percent_asian,percent_pacific,percent_latinx,percent_nonwhite,gender_ratio,prop_sheltered,prop_unsheltered,wholesale_per_capita,restaurants_per_capita,grocery_per_capita,grocery_to_restaurant_ratio,wholesale_to_restaurant_ratio,grocery_to_wholesale_ratio,employment_rate,unemployment_rate_calc,workforce_participation_rate,monthly_food_cost,food_to_rent_ratio,log_rent,log_cost_per_meal,log_total_workforce,majority_race,delta_FI_rate,delta_unemployment_rate,delta_rent,delta_cost_per_meal,STATE,FI_prev,Predicted FI Rate
01079,2023,,,,,,,,,,,,,,0.171,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.9,,,1.4609379041156565,,white,-0.0089999999999999,,,-0.3700000000000001,01,0.18,0.16854334222749567
01081,2023,,,,,,,,,,,,,,0.16,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.7,,,1.615419984111648,,white,0.005,,,-0.4799999999999995,01,0.155,0.15775515676587515
01083,2023,,,,,,,,,,,,,,0.144,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.6,,,1.597365331199831,,white,-0.004,,,-0.4099999999999997,01,0.148,0.14261552923724163
01085,2023,,,,,,,,,,,,,,0.207,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.9,,,1.5496879080283263,,white,0.0269999999999999,,,-0.5599999999999996,01,0.18,0.20290593132576962
01087,2023,,,,,,,,,,,,,,0.177,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.2,,,1.6054298910365616,,white,0.0119999999999999,,,-0.4700000000000002,01,0.165,0.17398653217031812
01089,2023,,,,,,,,,,,,,,0.143,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.5,,,1.55814461804655,,white,0.0039999999999999,,,-0.4699999999999997,01,0.139,0.14216471548992604
01091,2023,,,,,,,,,,,,,,0.201,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.1,,,1.501852701754163,,white,0.024,,,-0.4499999999999997,01,0.177,0.19749959411047724
01093,2023,,,,,,,,,,,,,,0.199,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.99999999999994,,,1.4586150226995167,,white,-0.001,,,-0.3800000000000003,01,0.2,0.19505075364968094
01095,2023,,,,,,,,,,,,,,0.172,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.4,,,1.4951487660319729,,white,-0.004,,,-0.3900000000000001,01,0.176,0.16946376189331047
01097,2023,,,,,,,,,,,,,,0.168,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.6,,,1.534714366238164,,white,0.005,,,-0.48,01,0.163,0.16575749881663115
